ID,from_node,to_node,distance,spend_tm
1,0,1,43.57902412,43
2,0,2,43.57902412,43
3,0,3,18.40982156,18
4,0,4,18.40982156,18
5,0,5,42.7817419,42
6,0,6,42.7817419,42
7,0,7,8.151675424,8
8,0,8,8.151675424,8
9,0,9,38.86403651,38
10,0,10,38.86403651,38
11,0,11,30.61894134,30
12,0,12,30.61894134,30
13,0,13,13.50355258,13
14,0,14,13.50355258,13
15,0,15,7.919237465,7
16,0,16,7.919237465,7
17,0,17,17.45193163,17
18,0,18,17.45193163,17
19,0,19,24.81209858,24
20,0,20,24.81209858,24
21,0,21,20.17785362,20
22,0,22,20.17785362,20
23,0,23,54.35492209,54
24,0,24,54.35492209,54
25,0,25,46.70627024,46
26,0,26,46.70627024,46
27,0,27,11.16383642,11
28,0,28,11.16383642,11
29,0,29,31.30512298,31
30,0,30,31.30512298,31
31,0,31,42.56910176,42
32,0,32,42.56910176,42
33,0,33,14.88698424,14
34,0,34,14.88698424,14
35,0,35,22.68976828,22
36,0,36,22.68976828,22
37,0,37,49.54168081,49
38,0,38,49.54168081,49
39,0,39,43.87761189,43
40,0,40,43.87761189,43
41,0,41,42.86603895,42
42,0,42,42.86603895,42
43,0,43,38.8233283,38
44,0,44,38.8233283,38
45,0,45,26.54103222,26
46,0,46,26.54103222,26
47,0,47,25.20913133,25
48,0,48,25.20913133,25
49,0,49,27.85238224,27
50,0,50,27.85238224,27
51,0,51,49.48101731,49
52,0,52,49.48101731,49
53,0,53,21.66421727,21
54,0,54,21.66421727,21
55,0,55,24.89930758,24
56,0,56,24.89930758,24
57,0,57,16.41428484,16
58,0,58,16.41428484,16
59,0,59,22.8193867,22
60,0,60,22.8193867,22
61,0,61,0,0
62,1,0,43.57902412,43
63,1,2,0,0
64,1,3,26.12531927,26
65,1,4,26.12531927,26
66,1,5,7.853204043,7
67,1,6,7.853204043,7
68,1,7,35.55682424,35
69,1,8,35.55682424,35
70,1,9,29.02002209,29
71,1,10,29.02002209,29
72,1,11,15.11816409,15
73,1,12,15.11816409,15
74,1,13,31.52534379,31
75,1,14,31.52534379,31
76,1,15,35.81765907,35
77,1,16,35.81765907,35
78,1,17,32.994524,32
79,1,18,32.994524,32
80,1,19,19.40985745,19
81,1,20,19.40985745,19
82,1,21,25.59430838,25
83,1,22,25.59430838,25
84,1,23,11.07216948,11
85,1,24,11.07216948,11
86,1,25,7.499065336,7
87,1,26,7.499065336,7
88,1,27,44.83915308,44
89,1,28,44.83915308,44
90,1,29,39.97658255,39
91,1,30,39.97658255,39
92,1,31,6.278819828,6
93,1,32,6.278819828,6
94,1,33,36.89060793,36
95,1,34,36.89060793,36
96,1,35,25.76825118,25
97,1,36,25.76825118,25
98,1,37,5.96542042,5
99,1,38,5.96542042,5
100,1,39,16.50121747,16
101,1,40,16.50121747,16
102,1,41,14.13063989,14
103,1,42,14.13063989,14
104,1,43,30.41269279,30
105,1,44,30.41269279,30
106,1,45,34.81326028,34
107,1,46,34.81326028,34
108,1,47,26.60157863,26
109,1,48,26.60157863,26
110,1,49,18.87028828,18
111,1,50,18.87028828,18
112,1,51,10.01425746,10
113,1,52,10.01425746,10
114,1,53,24.86642068,24
115,1,54,24.86642068,24
116,1,55,22.89761621,22
117,1,56,22.89761621,22
118,1,57,27.81432068,27
119,1,58,27.81432068,27
120,1,59,22.80689843,22
121,1,60,22.80689843,22
122,1,61,43.57902412,43
123,2,0,43.57902412,43
124,2,1,0,0
125,2,3,26.12531927,26
126,2,4,26.12531927,26
127,2,5,7.853204043,7
128,2,6,7.853204043,7
129,2,7,35.55682424,35
130,2,8,35.55682424,35
131,2,9,29.02002209,29
132,2,10,29.02002209,29
133,2,11,15.11816409,15
134,2,12,15.11816409,15
135,2,13,31.52534379,31
136,2,14,31.52534379,31
137,2,15,35.81765907,35
138,2,16,35.81765907,35
139,2,17,32.994524,32
140,2,18,32.994524,32
141,2,19,19.40985745,19
142,2,20,19.40985745,19
143,2,21,25.59430838,25
144,2,22,25.59430838,25
145,2,23,11.07216948,11
146,2,24,11.07216948,11
147,2,25,7.499065336,7
148,2,26,7.499065336,7
149,2,27,44.83915308,44
150,2,28,44.83915308,44
151,2,29,39.97658255,39
152,2,30,39.97658255,39
153,2,31,6.278819828,6
154,2,32,6.278819828,6
155,2,33,36.89060793,36
156,2,34,36.89060793,36
157,2,35,25.76825118,25
158,2,36,25.76825118,25
159,2,37,5.96542042,5
160,2,38,5.96542042,5
161,2,39,16.50121747,16
162,2,40,16.50121747,16
163,2,41,14.13063989,14
164,2,42,14.13063989,14
165,2,43,30.41269279,30
166,2,44,30.41269279,30
167,2,45,34.81326028,34
168,2,46,34.81326028,34
169,2,47,26.60157863,26
170,2,48,26.60157863,26
171,2,49,18.87028828,18
172,2,50,18.87028828,18
173,2,51,10.01425746,10
174,2,52,10.01425746,10
175,2,53,24.86642068,24
176,2,54,24.86642068,24
177,2,55,22.89761621,22
178,2,56,22.89761621,22
179,2,57,27.81432068,27
180,2,58,27.81432068,27
181,2,59,22.80689843,22
182,2,60,22.80689843,22
183,2,61,43.57902412,43
184,3,0,18.40982156,18
185,3,1,26.12531927,26
186,3,2,26.12531927,26
187,3,4,0,0
188,3,5,24.4436579,24
189,3,6,24.4436579,24
190,3,7,10.31314962,10
191,3,8,10.31314962,10
192,3,9,23.85128329,23
193,3,10,23.85128329,23
194,3,11,12.2363607,12
195,3,12,12.2363607,12
196,3,13,5.406684518,5
197,3,14,5.406684518,5
198,3,15,10.52154091,10
199,3,16,10.52154091,10
200,3,17,8.922239955,8
201,3,18,8.922239955,8
202,3,19,6.729784875,6
203,3,20,6.729784875,6
204,3,21,2.66484603,2
205,3,22,2.66484603,2
206,3,23,37.16895603,37
207,3,24,37.16895603,37
208,3,25,28.43793558,28
209,3,26,28.43793558,28
210,3,27,23.64282547,23
